date,ticker,close,ret_fwd_1,year,month,quarter,doy,iso_week,weekday,year_digit,seas_iso_week_mu,seas_month_mu,seas_year_digit_mu,seasonality_score_weekly,seasonality_signal_weekly
2000-08-25,CL=F,32.04999923706055,0.04149771802542701,2000,8,3,238,34,4,0,0.0037365942776646298,-0.0018325935351104898,0.0008594171206861791,-0.18028011674054475,0
2000-09-01,CL=F,33.380001068115234,0.009586569340463091,2000,9,3,245,35,4,0,-0.010914657636732708,-0.000754681297106526,0.0008594171206861791,-1.0109067231837645,-1
2000-09-08,CL=F,33.70000076293945,0.06379815022277491,2000,9,3,252,36,4,0,-0.0020262505959542506,-0.000754681297106526,0.0008594171206861791,-0.4669766696385648,0
2000-09-15,CL=F,35.849998474121094,-0.08926072759953274,2000,9,3,259,37,4,0,-0.0009830796838719525,-0.000754681297106526,0.0008594171206861791,-0.40313935801877376,0
2000-09-22,CL=F,32.650001525878906,-0.054823915218152774,2000,9,3,266,38,4,0,0.007104619235964709,-0.000754681297106526,0.0008594171206861791,0.09179100310687133,0
2000-09-29,CL=F,30.860000610351562,-0.0003240514803645178,2000,9,3,273,39,4,0,-0.005616595785808467,-0.000754681297106526,0.0008594171206861791,-0.6866894530882433,0
2000-10-06,CL=F,30.850000381469727,0.13614258682841318,2000,10,4,280,40,4,0,0.013613125833795762,-0.003973587942908274,0.0008594171206861791,0.29309954690336204,0
2000-10-13,CL=F,35.04999923706055,-0.02139800331884112,2000,10,4,287,41,4,0,-0.009788335244887215,-0.003973587942908274,0.0008594171206861791,-1.1389633547129365,-1
2000-10-20,CL=F,34.29999923706055,-0.046647186872013746,2000,10,4,294,42,4,0,-0.0028325897407683277,-0.003973587942908274,0.0008594171206861791,-0.7133033903183706,-1
2000-10-27,CL=F,32.70000076293945,-0.0030581738986287244,2000,10,4,301,43,4,0,-0.015632811804728385,-0.003973587942908274,0.0008594171206861791,-1.496618717879074,-1
2000-11-03,CL=F,32.599998474121094,0.045705575098403894,2000,11,4,308,44,4,0,-0.0038593576446925037,-0.007277651885380238,0.0008594171206861791,-0.9783305866762906,-1
2000-11-10,CL=F,34.09000015258789,0.04429446508578483,2000,11,4,315,45,4,0,-0.02592740823483849,-0.007277651885380238,0.0008594171206861791,-2.328794835676863,-1
2000-11-17,CL=F,35.599998474121094,-0.0056178920453485715,2000,11,4,322,46,4,0,0.001275531265082922,-0.007277651885380238,0.0008594171206861791,-0.6640987578650186,0
2000-11-24,CL=F,35.400001525878906,-0.09463282893842151,2000,11,4,329,47,4,0,0.0036938871286590646,-0.007277651885380238,0.0008594171206861791,-0.5161063866413091,0
2000-12-01,CL=F,32.04999923706055,-0.11076440940926946,2000,12,4,336,48,4,0,-0.02127666690093669,0.006510966684508562,0.0008594171206861791,-1.2003899399746953,-1
2000-12-08,CL=F,28.5,0.012280715139288745,2000,12,4,343,49,4,0,-0.0009793779517526162,0.006510966684508562,0.0008594171206861791,0.04171175657240153,0
2000-12-15,CL=F,28.850000381469727,-0.0925476617327492,2000,12,4,350,50,4,0,0.0048040710727215675,0.006510966684508562,0.0008594171206861791,0.3956325123530305,0
2000-12-22,CL=F,26.18000030517578,0.023682159077828224,2000,12,4,357,51,4,0,0.018324539578337098,0.006510966684508562,0.0008594171206861791,1.2230236437982833,1
2000-12-29,CL=F,26.799999237060547,0.04477614914555761,2000,12,4,364,52,4,0,0.014590655884036463,0.006510966684508562,0.0008594171206861791,0.9945269572205028,1
2001-01-05,CL=F,28.0,0.07321425846644813,2001,1,1,5,1,4,1,-0.007543666296502575,0.0017318062008038844,0.0035297789293447577,-0.48904169176052675,0
2001-01-12,CL=F,30.049999237060547,0.06821961028645518,2001,1,1,12,2,4,1,0.005872242345713938,0.0017318062008038844,0.0035297789293447577,0.33195085196969676,0
2001-01-19,CL=F,32.099998474121094,-0.07227407781174688,2001,1,1,19,3,4,1,0.013421187381705411,0.0017318062008038844,0.0035297789293447577,0.7939119276493489,1
2001-01-26,CL=F,29.780000686645508,0.04936196371592749,2001,1,1,26,4,4,1,-0.006795715722142579,0.0017318062008038844,0.0035297789293447577,-0.44327052105532416,0
2001-02-02,CL=F,31.25,-0.006400024414062511,2001,2,1,33,5,4,1,0.0017947665504162115,0.014491131805023783,0.0035297789293447577,0.8632405431115676,1
2001-02-09,CL=F,31.049999237060547,-0.060869547055981243,2001,2,1,40,6,4,1,0.012684093411063534,0.014491131805023783,0.0035297789293447577,1.5296177820486734,1
2001-02-16,CL=F,29.15999984741211,-0.005486963245862619,2001,2,1,47,7,4,1,0.021536435009512883,0.014491131805023783,0.0035297789293447577,2.071340794682357,1
2001-02-23,CL=F,29.0,-0.03999999473834859,2001,2,1,54,8,4,1,0.02465555856258558,0.014491131805023783,0.0035297789293447577,2.2622169588199004,1
2001-03-02,CL=F,27.84000015258789,-0.0014368144866416799,2001,3,1,61,9,4,1,-0.0061535463841635085,-0.00033097322774472464,0.0035297789293447577,-0.5302053924091303,0
2001-03-09,CL=F,27.799999237060547,-0.03956829152191743,2001,3,1,68,10,4,1,-0.019013921342725757,-0.00033097322774472464,0.0035297789293447577,-1.317201803321638,-1
2001-03-16,CL=F,26.700000762939453,0.022471852321214625,2001,3,1,75,11,4,1,-0.003070652757354639,-0.00033097322774472464,0.0035297789293447577,-0.34154633485122626,0
2001-03-23,CL=F,27.299999237060547,-0.03296701991509576,2001,3,1,82,12,4,1,0.01654927799272396,-0.00033097322774472464,0.0035297789293447577,0.8591041230410246,1
2001-03-30,CL=F,26.399999618530273,0.0249999945813959,2001,3,1,89,13,4,1,0.010365166861963608,-0.00033097322774472464,0.0035297789293447577,0.4806646700488556,0
2001-04-06,CL=F,27.059999465942383,0.04397636945837147,2001,4,2,96,14,4,1,0.003868116574131233,-0.0009759726748382133,0.0035297789293447577,0.0436037347296208,0
2001-04-13,CL=F,28.25,-0.03433625887980507,2001,4,2,103,15,4,1,0.009262940184431953,-0.0009759726748382133,0.0035297789293447577,0.3737423840686118,0
2001-04-20,CL=F,27.280000686645508,0.03629031327711085,2001,4,2,110,16,4,1,-0.004066487744328074,-0.0009759726748382133,0.0035297789293447577,-0.4419579336322225,0
2001-04-27,CL=F,28.270000457763672,0.0031835921871439243,2001,4,2,117,17,4,1,-0.016424644625390915,-0.0009759726748382133,0.0035297789293447577,-1.198220884147118,-1
2001-05-04,CL=F,28.360000610351562,0.0066995283011255236,2001,5,2,124,18,4,1,0.02847035408665441,0.01330441461340359,0.0035297789293447577,2.423043390545126,1
2001-05-11,CL=F,28.549999237060547,0.047635749446401254,2001,5,2,131,19,4,1,0.015382984397632757,0.01330441461340359,0.0035297789293447577,1.6221559353401136,1
2001-05-18,CL=F,29.90999984741211,-0.051153483599161165,2001,5,2,138,20,4,1,0.0104164903843381,0.01330441461340359,0.0035297789293447577,1.3182291077106396,1
2001-05-25,CL=F,28.3799991607666,-0.015856196930862265,2001,5,2,145,21,4,1,-0.004871865789037528,0.01330441461340359,0.0035297789293447577,0.3826512978904022,0
2001-06-01,CL=F,27.93000030517578,0.016827758976694085,2001,6,2,152,22,4,1,0.011988600760752787,0.006267440356536886,0.0035297789293447577,0.9838043126405933,1
2001-06-08,CL=F,28.399999618530273,0.003873260979897708,2001,6,2,159,23,4,1,0.0068744604089686235,0.006267440356536886,0.0035297789293447577,0.670842201137203,0
2001-06-15,CL=F,28.510000228881836,-0.058926702619730986,2001,6,2,166,24,4,1,0.004291928378055893,0.006267440356536886,0.0035297789293447577,0.5128029957529358,0
2001-06-22,CL=F,26.829999923706055,-0.021617589465350195,2001,6,2,173,25,4,1,0.006284547458140892,0.006267440356536886,0.0035297789293447577,0.6347422136525355,0
2001-06-29,CL=F,26.25,0.07466663178943445,2001,6,2,180,26,4,1,0.008522499067936912,0.006267440356536886,0.0035297789293447577,0.7716946656907022,1
2001-07-06,CL=F,28.209999084472656,-0.05742640852393521,2001,7,3,187,27,4,1,-0.002831609824252901,-0.002989104174905379,0.0035297789293447577,-0.48958351035195313,0
2001-07-13,CL=F,26.59000015258789,-0.037608123138828775,2001,7,3,194,28,4,1,-0.0033039679408278034,-0.002989104174905379,0.0035297789293447577,-0.5184896770545295,0
2001-07-20,CL=F,25.59000015258789,0.05588121518753364,2001,7,3,201,29,4,1,-0.002020611723671748,-0.002989104174905379,0.0035297789293447577,-0.4399541180153565,0
2001-07-27,CL=F,27.020000457763672,0.022205787242957964,2001,7,3,208,30,4,1,-0.0029050106183190396,-0.002989104174905379,0.0035297789293447577,-0.4940753048505046,0
2001-08-03,CL=F,27.6200008392334,0.01556837019412205,2001,8,3,215,31,4,1,-0.004021001749301929,-0.0018325935351104898,0.0035297789293447577,-0.49159569534380426,0
2001-08-10,CL=F,28.049999237060547,-0.050623890014863004,2001,8,3,222,32,4,1,-0.006538607020634113,-0.0018325935351104898,0.0035297789293447577,-0.6456616785687869,0
2001-08-17,CL=F,26.6299991607666,0.010138958553234101,2001,8,3,229,33,4,1,0.009475525174090676,-0.0018325935351104898,0.0035297789293447577,0.33433032024427345,0
2001-08-24,CL=F,26.899999618530273,0.011152459058122899,2001,8,3,236,34,4,1,0.0037365942776646298,-0.0018325935351104898,0.0035297789293447577,-0.01686612873291347,0
2001-08-31,CL=F,27.200000762939453,0.0305147022215142,2001,8,3,243,35,4,1,-0.010914657636732708,-0.0018325935351104898,0.0035297789293447577,-0.9134560578102833,-1
2001-09-07,CL=F,28.030000686645508,0.053514090733314035,2001,9,3,250,36,4,1,-0.0020262505959542506,-0.000754681297106526,0.0035297789293447577,-0.3035626816309335,0
2001-09-14,CL=F,29.530000686645508,-0.12055541112469303,2001,9,3,257,37,4,1,-0.0009830796838719525,-0.000754681297106526,0.0035297789293447577,-0.2397253700111424,0
2001-09-21,CL=F,25.969999313354492,-0.09780512419469234,2001,9,3,264,38,4,1,0.007104619235964709,-0.000754681297106526,0.0035297789293447577,0.2552049911145026,0
2001-09-28,CL=F,23.43000030517578,-0.04438757584213959,2001,9,3,271,39,4,1,-0.005616595785808467,-0.000754681297106526,0.0035297789293447577,-0.5232754650806118,0
2001-10-05,CL=F,22.389999389648438,0.004912934941946334,2001,10,4,278,40,4,1,0.013613125833795762,-0.003973587942908274,0.0035297789293447577,0.4565135349109934,0
2001-10-12,CL=F,22.5,-0.029777781168619843,2001,10,4,285,41,4,1,-0.009788335244887215,-0.003973587942908274,0.0035297789293447577,-0.9755493667053053,-1
2001-10-19,CL=F,21.829999923706055,0.010077843065660508,2001,10,4,292,42,4,1,-0.0028325897407683277,-0.003973587942908274,0.0035297789293447577,-0.5498894023107394,0
2001-10-26,CL=F,22.049999237060547,-0.0848072107295933,2001,10,4,299,43,4,1,-0.015632811804728385,-0.003973587942908274,0.0035297789293447577,-1.3332047298714427,-1
2001-11-02,CL=F,20.18000030517578,0.10109013762777241,2001,11,4,306,44,4,1,-0.0038593576446925037,-0.007277651885380238,0.0035297789293447577,-0.8149165986686591,-1
2001-11-09,CL=F,22.219999313354492,-0.18856880090859152,2001,11,4,313,45,4,1,-0.02592740823483849,-0.007277651885380238,0.0035297789293447577,-2.1653808476692316,-1
